reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,tokenized_content,lower_tokenized_content,removed_stopwords_content,lemmatized_content,stemmed_content,cleaned_content,cleaned_content_no_common,year,sentiment_polarity,sentiment_subjective,sentiment_rating
bde4ccb0-d440-461c-8a10-ee2d6ee0e815,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,👍,5,0,2.9.0,2025-10-05 15:49:49,,,2.9.0,['👍'],['👍'],['👍'],[''],[''],,,2025,0.0,0.0,Positive
05b3aa4e-2214-4c5c-b193-d3d824f88c8d,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,aplikasi lemot gk guna.gk mau respon pas login gk bisa digunakan.😠😠😠,1,0,2.9.0,2025-10-04 19:49:12,,,2.9.0,"['aplikasi', 'lemot', 'gk', 'guna.gk', 'mau', 'respon', 'pas', 'login', 'gk', 'bisa', 'digunakan.😠😠😠']","['aplikasi', 'lemot', 'gk', 'guna.gk', 'mau', 'respon', 'pas', 'login', 'gk', 'bisa', 'digunakan.😠😠😠']","['aplikasi', 'lemot', 'guna.gk', 'respon', 'pas', 'login', 'digunakan.😠😠😠']","['aplikasi', 'lot', 'guna gk', 'respon', 'pas', 'login', 'guna']","['aplikasi', 'lot', 'guna gk', 'respon', 'pa', 'login', 'guna']",aplikasi lot guna gk respon pa login guna,aplikasi lot gk respon pa login,2025,0.0,0.0,Negative
19bd7606-fa19-4908-91f4-51b8426b3434,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,baru coba,5,0,,2025-10-04 14:06:36,,,,"['baru', 'coba']","['baru', 'coba']",['coba'],['coba'],['coba'],coba,coba,2025,0.0,0.0,Positive
dcbb0018-4af8-449d-80bf-c89767ec1152,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"aplikasi nya mempermudah banget, tetapi kalo operasional di jalan tol jangan dibatasi 20km/jam dong min, bisa kali maksimal nya ditambah khusus dijalan tol saja.",4,0,2.9.0,2025-10-04 13:33:11,,,2.9.0,"['aplikasi', 'nya', 'mempermudah', 'banget', ',', 'tetapi', 'kalo', 'operasional', 'di', 'jalan', 'tol', 'jangan', 'dibatasi', '20km/jam', 'dong', 'min', ',', 'bisa', 'kali', 'maksimal', 'nya', 'ditambah', 'khusus', 'dijalan', 'tol', 'saja', '.']","['aplikasi', 'nya', 'mempermudah', 'banget', ',', 'tetapi', 'kalo', 'operasional', 'di', 'jalan', 'tol', 'jangan', 'dibatasi', '20km/jam', 'dong', 'min', ',', 'bisa', 'kali', 'maksimal', 'nya', 'ditambah', 'khusus', 'dijalan', 'tol', 'saja', '.']","['aplikasi', 'mempermudah', ',', 'kalo', 'operasional', 'jalan', 'tol', 'dibatasi', '20km/jam', 'min', ',', 'kali', 'maksimal', 'ditambah', 'khusus', 'dijalan', 'tol', '.']","['aplikasi', 'mudah', '', 'kalo', 'operasional', 'jalan', 'tol', 'batas', '20km jam', 'min', '', 'kali', 'maksimal', 'tambah', 'khusus', 'jalan', 'tol', '']","['aplikasi', 'mudah', '', 'kalo', 'operasion', 'jalan', 'tol', 'bata', '20km jam', 'min', '', 'kali', 'maksim', 'tambah', 'khusu', 'jalan', 'tol', '']",aplikasi mudah  kalo operasion jalan tol bata 20km jam min  kali maksim tambah khusu jalan tol ,aplikasi mudah kalo operasion jalan tol bata 20km jam min kali maksim khusu jalan tol,2025,0.0,0.0,Positive
a63a99d1-bc93-42b1-bd1a-d20a8170e576,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,sangat baik,5,0,,2025-10-04 09:54:37,,,,"['sangat', 'baik']","['sangat', 'baik']",[],[],[],,,2025,0.0,0.0,Positive
ab0ff4f7-f8ff-46ed-a331-f65654abeda3,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,bisa gak sih pake apk ini beli tiket lebih dari satu orang . misal kita mau beli 4 tiket untuk sekali perjalanan?,5,0,2.9.0,2025-10-03 19:08:01,,,2.9.0,"['bisa', 'gak', 'sih', 'pake', 'apk', 'ini', 'beli', 'tiket', 'lebih', 'dari', 'satu', 'orang', '.', 'misal', 'kita', 'mau', 'beli', '4', 'tiket', 'untuk', 'sekali', 'perjalanan', '?']","['bisa', 'gak', 'sih', 'pake', 'apk', 'ini', 'beli', 'tiket', 'lebih', 'dari', 'satu', 'orang', '.', 'misal', 'kita', 'mau', 'beli', '4', 'tiket', 'untuk', 'sekali', 'perjalanan', '?']","['sih', 'pake', 'beli', 'tiket', 'orang', '.', 'beli', '4', 'tiket', 'perjalanan', '?']","['sih', 'pake', 'beli', 'tiket', 'orang', '', 'beli', '4', 'tiket', 'jalan', '']","['sih', 'pake', 'beli', 'tiket', 'orang', '', 'beli', '4', 'tiket', 'jalan', '']",sih pake beli tiket orang  beli 4 tiket jalan ,sih pake beli tiket orang beli 4 tiket jalan,2025,0.0,0.0,Positive
da9fd008-09c7-4b13-9a76-18e7ae94350b,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,saya harap peningkatan untuk ketersediaan rute dan armada Transjakarta low deck atau non brt . karena di peta sering kali armada tiba-tiba hilang itu sangat menggangu sekali menurut saya,5,0,2.8.0,2025-10-03 18:48:13,,,2.8.0,"['saya', 'harap', 'peningkatan', 'untuk', 'ketersediaan', 'rute', 'dan', 'armada', 'Transjakarta', 'low', 'deck', 'atau', 'non', 'brt', '.', 'karena', 'di', 'peta', 'sering', 'kali', 'armada', 'tiba-tiba', 'hilang', 'itu', 'sangat', 'menggangu', 'sekali', 'menurut', 'saya']","['saya', 'harap', 'peningkatan', 'untuk', 'ketersediaan', 'rute', 'dan', 'armada', 'transjakarta', 'low', 'deck', 'atau', 'non', 'brt', '.', 'karena', 'di', 'peta', 'sering', 'kali', 'armada', 'tiba-tiba', 'hilang', 'itu', 'sangat', 'menggangu', 'sekali', 'menurut', 'saya']","['harap', 'peningkatan', 'ketersediaan', 'rute', 'armada', 'transjakarta', 'low', 'deck', 'non', 'brt', '.', 'peta', 'kali', 'armada', 'hilang', 'menggangu']","['harap', 'tingkat', 'sedia', 'rute', 'armada', 'transjakarta', 'low', 'deck', 'non', 'brt', '', 'peta', 'kali', 'armada', 'hilang', 'menggangu']","['harap', 'tingkat', 'sedia', 'rute', 'armada', 'transjakarta', 'low', 'deck', 'non', 'brt', '', 'peta', 'kali', 'armada', 'hilang', 'menggangu']",harap tingkat sedia rute armada transjakarta low deck non brt  peta kali armada hilang menggangu,harap tingkat sedia rute armada transjakarta low deck non brt peta kali armada hilang menggangu,2025,0.0,0.3,Positive
41dca791-fe24-4d9d-87d3-c84663f210fc,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,saya mau daftar pay bayarind tapi ketika masukin kata sandi ga bisa-bisa udh sesuai yang disuruh,4,0,2.9.0,2025-10-03 16:36:59,,,2.9.0,"['saya', 'mau', 'daftar', 'pay', 'bayarind', 'tapi', 'ketika', 'masukin', 'kata', 'sandi', 'ga', 'bisa-bisa', 'udh', 'sesuai', 'yang', 'disuruh']","['saya', 'mau', 'daftar', 'pay', 'bayarind', 'tapi', 'ketika', 'masukin', 'kata', 'sandi', 'ga', 'bisa-bisa', 'udh', 'sesuai', 'yang', 'disuruh']","['daftar', 'pay', 'bayarind', 'masukin', 'sandi', 'bisa-bisa', 'udh', 'sesuai', 'disuruh']","['daftar', 'pay', 'bayarind', 'masukin', 'sandi', 'bisa', 'udh', 'sesuai', 'suruh']","['daftar', 'pay', 'bayarind', 'masukin', 'sandi', 'bisa', 'udh', 'sesuai', 'suruh']",daftar pay bayarind masukin sandi bisa udh sesuai suruh,daftar pay bayarind masukin sandi udh sesuai suruh,2025,0.0,0.0,Positive
59bce5bc-5fd0-4f10-9a1c-accda85cae14,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,suka banget sama aplikasi ini. sangat mudah dipahami.,5,0,2.9.0,2025-10-03 16:14:03,,,2.9.0,"['suka', 'banget', 'sama', 'aplikasi', 'ini', '.', 'sangat', 'mudah', 'dipahami', '.']","['suka', 'banget', 'sama', 'aplikasi', 'ini', '.', 'sangat', 'mudah', 'dipahami', '.']","['suka', 'aplikasi', '.', 'mudah', 'dipahami', '.']","['suka', 'aplikasi', '', 'mudah', 'paham', '']","['suka', 'aplikasi', '', 'mudah', 'paham', '']",suka aplikasi  mudah paham ,suka aplikasi mudah paham,2025,0.0,0.0,Positive
0d78d250-7c59-4a5a-bde8-69c50b03b464,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Untuk aplikasi ini saya sangat suka karena mempermudahkan saya untuk transportasi di tempat dekat maupun jauh dan saya bisa tau lokasi tempat halte dan rute di maps aplikasi nya sangat bagus fiturnya saya suka,5,0,2.9.0,2025-10-03 15:29:12,,,2.9.0,"['Untuk', 'aplikasi', 'ini', 'saya', 'sangat', 'suka', 'karena', 'mempermudahkan', 'saya', 'untuk', 'transportasi', 'di', 'tempat', 'dekat', 'maupun', 'jauh', 'dan', 'saya', 'bisa', 'tau', 'lokasi', 'tempat', 'halte', 'dan', 'rute', 'di', 'maps', 'aplikasi', 'nya', 'sangat', 'bagus', 'fiturnya', 'saya', 'suka']","['untuk', 'aplikasi', 'ini', 'saya', 'sangat', 'suka', 'karena', 'mempermudahkan', 'saya', 'untuk', 'transportasi', 'di', 'tempat', 'dekat', 'maupun', 'jauh', 'dan', 'saya', 'bisa', 'tau', 'lokasi', 'tempat', 'halte', 'dan', 'rute', 'di', 'maps', 'aplikasi', 'nya', 'sangat', 'bagus', 'fiturnya', 'saya', 'suka']","['aplikasi', 'suka', 'mempermudahkan', 'transportasi', 'tau', 'lokasi', 'halte', 'rute', 'maps', 'aplikasi', 'bagus', 'fiturnya', 'suka']","['aplikasi', 'suka', 'mudah', 'transportasi', 'tau', 'lokasi', 'halte', 'rute', 'maps', 'aplikasi', 'bagus', 'fiturnya', 'suka']","['aplikasi', 'suka', 'mudah', 'transportasi', 'tau', 'lokasi', 'halt', 'rute', 'map', 'aplikasi', 'bagu', 'fiturnya', 'suka']",aplikasi suka mudah transportasi tau lokasi halt rute map aplikasi bagu fiturnya suka,aplikasi suka mudah transportasi tau lokasi halt rute map aplikasi bagu fiturnya suka,2025,0.0,0.0,Positive
